word	nodeType	synsetCount	unit
big	ADJ	17	ferris
high	ADJ	18	ferris
serious	ADJ	6	ferris
teenage	ADJ	1	ferris
closed	ADJ	26	ferris
least	ADJ	3	ferris
first	ADJ	16	ferris
human	ADJ	4	ferris
good	ADJ	27	ferris
conventional	ADJ	7	ferris
near	ADJ	9	ferris
new	ADJ	12	ferris
bold	ADJ	4	ferris
wet	ADJ	9	ferris
wild	ADJ	17	ferris
catatonic	ADJ	1	ferris
nice	ADJ	6	ferris
other	ADJ	4	ferris
shitty	ADJ	1	ferris
red	ADJ	7	ferris
wrong	ADJ	13	ferris
sick	ADJ	9	ferris
catatonic	ADJ	1	ferris
lifeless	ADJ	4	ferris
closed	ADJ	26	ferris
lifeless	ADJ	4	ferris
other	ADJ	4	ferris
okay	ADJ	4	ferris
bewildered	ADJ	3	ferris
funny	ADJ	5	ferris
wooden	ADJ	2	ferris
wasted	ADJ	14	ferris
teenage	ADJ	1	ferris
long	ADJ	12	ferris
straight	ADJ	21	ferris
serious	ADJ	6	ferris
serious	ADJ	6	ferris
wrong	ADJ	13	ferris
cool	ADJ	11	ferris
phoney	ADJ	2	ferris
pissed	ADJ	3	ferris
little	ADJ	10	ferris
more	ADJ	5	ferris
little	ADJ	10	ferris
less	ADJ	5	ferris
bold	ADJ	4	ferris
right	ADJ	36	ferris
whole	ADJ	8	ferris
present	ADJ	18	ferris
naked	ADJ	5	ferris
naked	ADJ	5	ferris
only	ADJ	9	ferris
well	ADJ	22	ferris
generic	ADJ	5	ferris
generic	ADJ	5	ferris
good	ADJ	27	ferris
well	ADJ	22	ferris
cool	ADJ	11	ferris
good	ADJ	27	ferris
bad	ADJ	17	ferris
big	ADJ	17	ferris
u-2	ADJ	0	ferris
serious	ADJ	6	ferris
mighty	ADJ	2	ferris
blue	ADJ	16	ferris
unmanned	ADJ	2	ferris
placcid	ADJ	0	ferris
impending	ADJ	2	ferris
bewildered	ADJ	3	ferris
wooded	ADJ	1	ferris
brief	ADJ	6	ferris
proud	ADJ	2	ferris
bold	ADJ	4	ferris
quick	ADJ	8	ferris
proud	ADJ	2	ferris
puzzled	ADJ	3	ferris
okay	ADJ	4	ferris
interested	ADJ	5	ferris
impish	ADJ	1	ferris
cool	ADJ	11	ferris
loose	ADJ	18	ferris
juvenile	ADJ	3	ferris
good	ADJ	27	ferris
long	ADJ	12	ferris
juvenile	ADJ	3	ferris
little	ADJ	10	ferris
bewildered	ADJ	3	ferris
ill	ADJ	9	ferris
good	ADJ	27	ferris
sure	ADJ	10	ferris
hi	ADJ	2	ferris
young	ADJ	14	ferris
back	ADJ	28	ferris
great	ADJ	7	ferris
cool	ADJ	11	ferris
alright	ADJ	4	ferris
sure	ADJ	10	ferris
old	ADJ	9	ferris
okay	ADJ	4	ferris
worried	ADJ	8	ferris
smart	ADJ	9	ferris
loose	ADJ	18	ferris
huge	ADJ	1	ferris
other	ADJ	4	ferris
significant	ADJ	4	ferris
typewritten	ADJ	1	ferris
great	ADJ	7	ferris
worthy	ADJ	4	ferris
much	ADJ	7	ferris
front	ADJ	13	ferris
ferris	ADJ	0	ferris
other	ADJ	4	ferris
omnious	ADJ	0	ferris
key	ADJ	21	ferris
high	ADJ	18	ferris
alright	ADJ	4	ferris
sick	ADJ	9	ferris
sick	ADJ	9	ferris
dumbfounded	ADJ	2	ferris
huge	ADJ	1	ferris
dejected	ADJ	2	ferris
bewildered	ADJ	3	ferris
next	ADJ	4	ferris
new	ADJ	12	ferris
big	ADJ	17	ferris
little	ADJ	10	ferris
serious	ADJ	6	ferris
orange	ADJ	6	ferris
proud	ADJ	2	ferris
jammed	ADJ	8	ferris
floral	ADJ	3	ferris
sorry	ADJ	4	ferris
cool	ADJ	11	ferris
sickly	ADJ	2	ferris
cool	ADJ	11	ferris
cool	ADJ	11	ferris
same	ADJ	6	ferris
deathly	ADJ	3	ferris
gasp	ADJ	2	ferris
well	ADJ	22	ferris
deep	ADJ	21	ferris
well	ADJ	22	ferris
sick	ADJ	9	ferris
bad	ADJ	17	ferris
right	ADJ	36	ferris
right	ADJ	36	ferris
sweet	ADJ	16	ferris
hideous	ADJ	2	ferris
happy	ADJ	4	ferris
great	ADJ	7	ferris
big	ADJ	17	ferris
crazy	ADJ	6	ferris
pure	ADJ	7	ferris
big	ADJ	17	ferris
